,Refrigirator_name,Rate
0,SAMSUNG 192 L Direct Cool Single Door 2 Star Refrigerator,"₹13,190"
1,SAMSUNG 253 L Frost Free Double Door 3 Star Refrigerator,"₹24,490"
2,SAMSUNG 198 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer  with Digi Touch Cool,"₹16,700"
3,SAMSUNG 253 L Frost Free Double Door 2 Star Convertible Refrigerator,"₹25,990"
4,SAMSUNG 198 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,"₹16,750"
5,SAMSUNG 198 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,"₹16,750"
6,SAMSUNG 198 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹18,000"
7,SAMSUNG 670 L Frost Free Double Door 2 Star Refrigerator,"₹75,800"
8,SAMSUNG 230 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer,"₹18,390"
9,SAMSUNG 230 L Direct Cool Single Door 3 Star Refrigerator,"₹17,090"
10,SAMSUNG 192 L Direct Cool Single Door 2 Star Refrigerator,"₹14,490"
11,SAMSUNG 253 L Frost Free Double Door 2 Star Refrigerator with Base Drawer,"₹28,490"
12,SAMSUNG 345 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹36,550"
13,SAMSUNG 253 l Frost Free Double Door 2 Star Refrigerator,"₹22,600"
14,SAMSUNG 198 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹17,900"
15,SAMSUNG 314 L Frost Free Double Door 2 Star Refrigerator  with Curd Maestro,"₹36,490"
16,SAMSUNG 253 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹26,290"
17,SAMSUNG 192 L Direct Cool Single Door 3 Star Refrigerator,"₹14,590"
18,SAMSUNG 345 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹37,050"
19,SAMSUNG 523 L Frost Free Double Door 2 Star Refrigerator,"₹61,990"
20,SAMSUNG 192 L Direct Cool Single Door 3 Star Refrigerator,"₹15,090"
21,"SAMSUNG 225 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer  with Digi Touch Cool, BSD","₹20,490"
22,SAMSUNG 324 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹34,790"
23,SAMSUNG 253 L Frost Free Double Door 2 Star Refrigerator with Base Drawer,"₹27,499"
